match_id	match_date	opponent	match_result	player	minutes_played	total_passes_under_pressure	completed_passes_under_pressure	ratio_passes_under_pressure	total_progressive_passes	completed_progressive_passes	ratio_progressive_passes	total_long_balls	completed_long_balls	ratio_long_balls	total_line_breaking_passes	completed_line_breaking_passes	ratio_line_breaking_passes	total_crosses	completed_crosses	ratio_crosses	total_through_balls	completed_through_balls	ratio_through_balls	total_passes	completed_passes	ratio_passes	passes_obv	dribbles_obv	carries_obv	sum_obv	goals	assists	second_assists	total_goal_contributions	shots	key_passes	second_assists_to_shots	total_shots_contributions	shots_faced	shots_blocked	clearances	ball_receipt_inside_box	duel_inside_box	shot_inside_box	total_touches_inside_box	total_dribbles	completed_dribbles	ratio_dribbles	total_passes_into_box	completed_passes_into_box	ratio_passes_into_box	total_final_third_passes	completed_final_third_passes	ratio_final_third_passes	shots_on_taget	ratio_shots	shot_conversion	xg	shot_quality	carries_into_final_third	passes_into_final_third	deep_progressions	xa	dispossessed	miscontrols	turnovers	attacking_errors	total_attacking_ball_recoveries	won_attacking_ball_recoveries	ratio_attacking_ball_recoveries	attacking_fouls_won	attacking_fouls_commited	total_attacking_aerials	won_attacking_aerials	ratio_attacking_aerials	total_attacking_50_50	won_attacking_50_50	ratio_attacking_50_50	total_attacking_duels	won_attacking_duels	ratio_attacking_duels	ratio_touches_inside_box_to_shots	xg_chain	xg_buildup	pressures	pressures_oppostion_half	pressures_final_third	avg_pressure_duration	pressure_regains	ratio_pressures	counterpressures	counterpressures_oppostion_half	counterpressures_final_third	avg_counterpressure_duration	counterpressure_regains	ratio_counterpressures	defensive_fouls_won	defensive_fouls_commited	defensive_errors	total_defensive_aerials	won_defensive_aerials	ratio_defensive_aerials	total_defensive_50_50	won_defensive_50_50	ratio_defensive_50_50	total_interceptions	interceptions_won	interceptions_ratio	total_tackles	tackles_won	tackles_ratio	dribbled_past	ratio_tackles_dribbled_past	total_defensive_ball_recoveries	won_defensive_ball_recoveries	ratio_defensive_ball_recoveries	total_defensive_duels	won_defensive_duels	ratio_defensive_duels	total_ball_receptions	successful_ball_receptions	ball_receptions_ratio	total_ball_receptions_under_pressure	successful_ball_receptions_under_pressure	ball_receptions_under_pressure_ratio	pressured_ball_receptions_ratio	total_ball_receptions_in_the_box	successful_ball_receptions_in_the_box	ball_receptions_in_the_box_ratio	box_ball_receptions_ratio	set_piece_clearances	set_piece_shots_faced	set_piece_shots_blocked	set_piece_shots	set_piece_shots_on_taget	set_piece_ratio_shots	set_piece_goals	set_piece_shot_conversion	set_piece_xg	set_piece_shot_quality	set_pieces	shots_set_piece_ratio	set_piece_ball_receipt_inside_box	set_piece_duel_inside_box	set_piece_shot_inside_box	set_piece_total_touches_inside_box	touches_inside_box_set_piece_ratio	aggressive_actions_pressures	aggressive_actions_fouls	aggressive_actions_tackles	total_aggressive_actions	dribbles_faced	dribble_stopped_ball_won	dribble_stopped_ball_lost	ratio_dribbles_successfully_defended	defensive_actions_regains_pressures	defensive_actions_regains_interceptions	defensive_actions_regains_blocks	defensive_actions_regains_tackles	defensive_actions_regains_dribbled_past	total_defensive_actions_regains	pass_inside_box	carry_inside_box
3939382	2024-07-20	Zagłębie Lubin	Won	Blaž Kramer	31.85	4.0	4.0	1.0	3.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0		6.0	6.0	1.0	0.01	-0.01	0.03	0.03	0.0	0.0	0.0	0.0	2.0	0.0	1.0	3.0	1.0	0.0	0.0	7.0	1.0	2.0	10.0	1.0	0.0	0.0	0.0	0.0		3.0	4.0	1.33	0.0	0.0	0.0	0.07	0.04	1.0	1.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	-1.0		0.0	0.0	2.0	1.0	0.5	0.0	0.0		3.0	1.0	0.33	5.0	0.54	0.47	4.0	4.0	1.0	0.55	1.0	0.25	1.0	1.0	0.0	0.45	0.0		0.0	1.0	0.0	0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0		0.0		1.0	0.0	0.0	1.0	0.0	0.0	23.0	9.0	0.39	0.0	0.0		0.0	7.0	1.0	0.14	0.3	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.05	0.05	3.0	3.0	3.0	1.0	1.0	5.0	0.6	1.0	0.0	0.0	1.0	0.0	0.0	0.0		1.0	0.0	0.0	0.0	0.0	1.0		
3945616	2024-07-25	Caernarfon Town	Won	Blaž Kramer	72.8	7.0	6.0	0.86	3.0	2.0	0.67	2.0	2.0	1.0	0.0	0.0		1.0	0.0	0.0	0.0	0.0		22.0	19.0	0.86	0.07	-0.0	0.32	0.39	1.0	1.0	0.0	2.0	5.0	0.0	0.0	4.0	6.0	0.0	0.0	11.0	1.0	3.0	22.0	2.0	1.0	0.5	0.0	0.0		8.0	9.0	1.12	3.0	0.6	0.2	1.52	0.3	0.0	0.0	0.0	0.23	0.0	1.0	2.0	0.0	0.0	0.0		0.0	0.0	2.0	1.0	0.5	0.0	0.0		4.0	2.0	0.5	4.4	1.8	0.83	6.0	3.0	2.0	0.64	1.0	0.17	2.0	0.0	0.0	0.57	0.0		2.0	1.0	0.0	0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0		0.0		1.0	1.0	1.0	3.0	2.0	0.67	37.0	24.0	0.65	4.0	3.0	0.75	0.11	11.0	4.0	0.36	0.3	0.0	1.0	0.0	0.0	0.0		0.0		0.0		9.0		1.0			1.0	9.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0		1.0	0.0	0.0	0.0	0.0	1.0	5.0	2.0
3939388	2024-07-28	Korona Kielce	Won	Blaž Kramer	60.8	3.0	2.0	0.67	3.0	2.0	0.67	0.0	0.0		2.0	1.0	0.5	0.0	0.0		0.0	0.0		16.0	14.0	0.88	-0.04		-0.0	-0.04	0.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0	5.0	0.0	0.0	3.0		2.0	5.0	0.0	0.0		0.0	0.0		2.0	2.0	1.0	1.0	0.5	0.0	0.79	0.39	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0		0.0	0.0	3.0	2.0	0.67	3.0	1.0	0.33	7.0	3.0	0.43	2.5	0.99	0.3	17.0	10.0	7.0	0.97	3.0	0.18	5.0	4.0	2.0	1.26	0.0		0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0		0.0	0.0		1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	5.0	0.0	0.0	27.0	17.0	0.63	3.0	3.0	1.0	0.11	3.0	2.0	0.67	0.11	0.0	1.0	0.0	0.0	0.0		0.0		0.0		6.0					0.0		9.0	1.0	0.0	10.0	1.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	1.0	4.0		
3939402	2024-08-04	Piast Gliwice	Lost	Blaž Kramer	55.37	1.0	1.0	1.0	2.0	1.0	0.5	0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0		10.0	9.0	0.9	0.0		-0.01	-0.0	1.0	0.0	0.0	1.0	2.0	0.0	0.0	1.0	4.0	0.0	0.0	3.0		2.0	5.0	0.0	0.0		0.0	0.0		3.0	3.0	1.0	2.0	1.0	0.5	0.54	0.27	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0		2.0	1.0	0.5	2.5	0.59	0.05	12.0	6.0	3.0	0.69	1.0	0.08	1.0	0.0	0.0	0.91	0.0		0.0	2.0	0.0	0.0	0.0		0.0	0.0		0.0	0.0		1.0	1.0	1.0	0.0		1.0	1.0	1.0	3.0	1.0	0.33	13.0	9.0	0.69	0.0	0.0		0.0	3.0	2.0	0.67	0.23	0.0	2.0	0.0	1.0	1.0	1.0	1.0	1.0	0.15	0.15	8.0	8.0	1.0		1.0	2.0	4.0	8.0	2.0	1.0	11.0	0.0	0.0	0.0		1.0	0.0	0.0	0.0	0.0	1.0		
3956662	2024-08-08	Brøndby IF	Won	Blaž Kramer	34.02	0.0	0.0		4.0	2.0	0.5	0.0	0.0		0.0	0.0		1.0	1.0	1.0	0.0	0.0		4.0	2.0	0.5	0.63		0.02	0.65	0.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	6.0	1.0	1.0	2.0			5.0	0.0	0.0		1.0	0.0	0.0	3.0	2.0	0.67	0.0			0.0		1.0	0.0	1.0	1.3	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0		0.0	0.0		0.0	0.0			1.3	1.3	2.0	1.0	1.0	0.4	1.0	0.5	0.0	0.0	0.0		0.0		0.0	1.0	0.0	0.0	0.0		0.0	0.0		1.0	0.0	0.0	0.0	0.0		0.0		1.0	0.0	0.0	1.0	0.0	0.0	4.0	3.0	0.75	0.0	0.0		0.0	2.0	2.0	1.0	0.5	0.0	1.0	1.0	0.0	0.0		0.0		0.0		1.0					0.0		1.0	1.0	0.0	2.0	0.0	0.0	0.0		1.0	0.0	0.0	0.0	0.0	1.0	2.0	1.0
3939409	2024-08-11	Puszcza Niepołomice	Draw	Blaž Kramer	67.5	5.0	3.0	0.6	5.0	2.0	0.4	0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0		11.0	7.0	0.64	-0.15	0.0	0.06	-0.1	1.0	0.0	0.0	1.0	3.0	1.0	0.0	3.0	10.0	0.0	0.0	5.0	2.0	3.0	12.0	1.0	1.0	1.0	0.0	0.0		4.0	1.0	0.25	2.0	0.67	0.33	0.51	0.17	0.0	0.0	0.0	0.03	1.0	0.0	0.0	0.0	0.0	0.0		1.0	0.0	5.0	3.0	0.6	0.0	0.0		8.0	5.0	0.62	4.0	0.62	0.12	13.0	10.0	10.0	0.95	3.0	0.23	2.0	1.0	1.0	0.58	1.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0		0.0	0.0		0.0	0.0		0.0		2.0	2.0	1.0	1.0	0.0	0.0	12.0	12.0	1.0	2.0	2.0	1.0	0.17	5.0	5.0	1.0	0.42	0.0	4.0	0.0	3.0	2.0	0.67	1.0	0.33	0.51	0.17	16.0	5.33	3.0	2.0	3.0	8.0	2.0	9.0	0.0	0.0	9.0	0.0	0.0	0.0		3.0	0.0	0.0	0.0	0.0	3.0	2.0	
3956664	2024-08-15	Brøndby IF	Draw	Blaž Kramer	36.68	3.0	2.0	0.67	4.0	1.0	0.25	0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0		8.0	5.0	0.62	-0.04	-0.0	-0.01	-0.05	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	7.0	0.0	0.0	2.0		1.0	3.0	2.0	1.0	0.5	0.0	0.0		2.0	1.0	0.5	0.0	0.0	0.0	0.07	0.07	0.0	0.0	0.0	0.0	0.0	3.0	4.0	0.0	1.0	0.0	0.0	1.0	0.0	6.0	2.0	0.33	0.0	0.0		9.0	4.0	0.44	3.0	0.12	0.05	7.0	5.0	2.0	0.78	1.0	0.14	4.0	3.0	2.0	0.89	0.0		1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0		0.0	0.0		0.0	0.0		0.0		3.0	3.0	1.0	3.0	2.0	0.67	17.0	10.0	0.59	0.0	0.0		0.0	2.0	1.0	0.5	0.12	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.07	0.07	2.0	2.0	1.0		1.0	2.0	1.0	5.0	1.0	0.0	6.0	0.0	0.0	0.0		1.0	0.0	1.0	0.0	0.0	2.0		
3939418	2024-08-18	RKS Radomiak Radom	Won	Blaž Kramer	99.03	8.0	6.0	0.75	14.0	8.0	0.57	3.0	3.0	1.0	5.0	3.0	0.6	0.0	0.0		1.0	0.0	0.0	27.0	19.0	0.7	-0.08	-0.01	0.1	0.01	1.0	1.0	0.0	2.0	3.0	1.0	0.0	3.0	13.0	0.0	1.0	7.0		2.0	11.0	3.0	2.0	0.67	1.0	0.0	0.0	14.0	10.0	0.71	2.0	0.67	0.33	1.03	0.34	0.0	5.0	5.0	0.21	3.0	2.0	3.0	0.0	0.0	0.0		0.0	0.0	5.0	1.0	0.2	0.0	0.0		11.0	3.0	0.27	3.67	1.61	0.83	10.0	9.0	5.0	0.71	2.0	0.2	3.0	3.0	0.0	0.56	1.0	3.0	0.0	2.0	0.0	3.0	2.0	0.67	0.0	0.0		0.0	0.0		0.0	0.0		0.0		3.0	3.0	1.0	5.0	2.0	0.4	41.0	30.0	0.73	4.0	4.0	1.0	0.1	7.0	3.0	0.43	0.17	1.0	3.0	0.0	0.0	0.0		0.0		0.0		12.0		1.0			1.0	12.0	7.0	0.0	0.0	7.0	0.0	0.0	0.0		2.0	0.0	0.0	0.0	0.0	2.0	1.0	1.0
3957795	2024-08-22	Drita	Won	Blaž Kramer	76.17	2.0	1.0	0.5	6.0	5.0	0.83	0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0		13.0	12.0	0.92	-0.14	0.0	-0.02	-0.16	1.0	0.0	0.0	1.0	2.0	0.0	0.0	1.0	2.0	0.0	2.0	13.0		2.0	16.0	1.0	0.0	0.0	1.0	1.0	1.0	8.0	8.0	1.0	2.0	1.0	0.5	0.44	0.22	2.0	1.0	3.0	0.0	2.0	1.0	2.0	0.0	0.0	0.0		0.0	0.0	1.0	1.0	1.0	0.0	0.0		4.0	1.0	0.25	8.0	0.47	0.03	9.0	9.0	8.0	0.68	3.0	0.33	1.0	1.0	1.0	1.42	1.0	1.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0		1.0	1.0	1.0	0.0	0.0		0.0		3.0	3.0	1.0	0.0	0.0		26.0	14.0	0.54	2.0	2.0	1.0	0.08	13.0	3.0	0.23	0.5	2.0	1.0	0.0	0.0	0.0		0.0		0.0		13.0		2.0			2.0	6.5	3.0	0.0	0.0	3.0	0.0	0.0	0.0		3.0	0.0	0.0	0.0	0.0	3.0	1.0	
3939431	2024-08-25	Śląsk Wrocław	Draw	Blaž Kramer	102.05	4.0	3.0	0.75	7.0	3.0	0.43	0.0	0.0		1.0	0.0	0.0	0.0	0.0		0.0	0.0		18.0	12.0	0.67	-0.03	0.01	0.22	0.2	0.0	0.0	0.0	0.0	4.0	0.0	0.0	4.0	10.0	0.0	1.0	6.0	1.0	3.0	13.0	4.0	2.0	0.5	0.0	0.0		3.0	2.0	0.67	2.0	0.5	0.0	0.44	0.11	2.0	0.0	2.0	0.0	3.0	2.0	4.0	0.0	3.0	1.0	0.33	0.0	0.0	4.0	1.0	0.25	0.0	0.0		11.0	3.0	0.27	3.25	0.63	0.28	12.0	11.0	8.0	1.24	2.0	0.17	0.0	0.0	0.0		0.0		2.0	2.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0		1.0	1.0	1.0	0.0		4.0	4.0	1.0	7.0	3.0	0.43	44.0	19.0	0.43	3.0	2.0	0.67	0.07	6.0	2.0	0.33	0.14	1.0	4.0	0.0	0.0	0.0		0.0		0.0		22.0					0.0		6.0	0.0	0.0	6.0	0.0	0.0	0.0		2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0
3957798	2024-08-29	Drita	Won	Blaž Kramer	70.05	9.0	5.0	0.56	10.0	4.0	0.4	1.0	1.0	1.0	0.0	0.0		0.0	0.0		0.0	0.0		21.0	13.0	0.62	0.06	0.0	0.02	0.07	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	3.0	0.0	1.0	7.0			9.0	1.0	1.0	1.0	1.0	0.0	0.0	8.0	4.0	0.5	0.0			0.0		1.0	0.0	1.0	0.32	0.0	1.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	6.0	3.0	0.5	0.0	0.0		7.0	4.0	0.57		0.34	0.34	16.0	16.0	10.0	0.66	2.0	0.12	3.0	3.0	2.0	0.44	1.0	3.0	0.0	1.0	0.0	0.0	0.0		0.0	0.0		0.0	0.0		1.0	1.0	1.0	0.0		2.0	0.0	0.0	2.0	1.0	0.5	42.0	16.0	0.38	1.0	1.0	1.0	0.02	7.0	1.0	0.14	0.17	0.0	0.0	0.0	0.0	0.0		0.0		0.0		10.0		4.0			4.0	2.5	10.0	0.0	0.0	10.0	0.0	0.0	0.0		2.0	0.0	0.0	1.0	0.0	3.0	1.0	1.0
